wavenumbercm-1	lambda_air	lambda_vac	intens	element	ionization_state	source
30228.0985	3307.228257	3308.180301185667	3.163	Ar	II	W
30210.6737	3309.135852	3310.0883811141225	2.162	Th	II	P
30208.5778	3309.36545	3310.318038209664	3.553	Th	I	P
30196.9806	3310.63646	3311.589371289658	2.602	Th	I	P
30195.3689	3310.813173	3311.7661298054218	1.999	Th	I	P
30174.7973	3313.070388	3314.023918894726	2.413	Th	I	P
30126.4254	3318.390131	3319.3450159540002	2.347	Th	I	P
30112.6324	3319.91016	3320.865431877686	2.922	Th	I	P
30107.4982	3320.476319	3321.4317355667895	3.109	Th	I	P
30092.8441	3322.093322	3323.0491497478633	2.938	Th	I	P
30068.7744	3324.752706	3325.7092114801994	3.102	Th	II	P
30065.4463	3325.120752	3326.0773514611024	3.52	Th	II	P
30053.2947	3326.465259	3327.4222010673593	2.168	Th	II	P
30046.72	3327.193167	3328.150293942234	3.231	Th	I	P
30023.8434	3329.728397	3330.6861705786805	2.92	Th	I	P
30017.095	3330.477007	3331.4349706392304	4.075	Th	I	P
29993.2128	3333.128998	3334.0876373204005	3.738	Th	I	P
29979.9452	3334.60412	3335.5631350520284	3.127	Th	II	P
29974.2366	3335.239216	3336.198393789952	2.538	Th	I	P
29950.6096	3337.870357	3338.8302053124153	3.093	Th	II	P
29945.8845	3338.39705	3339.3570325164383	2.3	Th	II	P
29925.0136	3340.725458	3341.6860335194638	2.884	Th	I	P
29915.923	3341.740642	3342.701477069586	1.693	Ar	II	N
29897.3836	3343.812927	3344.7742898813394	1.736	Th	II	P
29872.8784	3346.555999	3347.518061734553	2.441	Th	II	P
29865.3125	3347.403823	3348.366101978675	2.187	Th	I	P
29833.9412	3350.923835	3351.8870111602955	3.173	Ar	II	W
29831.228	3351.228617	3352.191870881078	3.419	Th	II	P
29807.0374	3353.948473	3354.9124207828854	2.171	Th	II	P
29804.9835	3354.179605	3355.143612141238	2.821	Th	II	P
29796.753	3355.106131	3356.0703745136257	3.072	Th	I	P
29789.0622	3355.972365	3356.9368289814774	1.714	Th	II	P
29779.428	3357.058119	3358.02286061371	1.83	Th	II	P
29777.8576	3357.235167	3358.1999532431105	1.865	Th	II	P
29765.7395	3358.601994	3359.5671291821927	3.26	Th	II	P
29750.0478	3360.37355	3361.339137075269	2.279	Th	II	P
29744.5185	3360.99824	3361.963986742633	3.315	Th	I	P
29742.7517	3361.197899	3362.163696508282	2.89	Th	I	P
29729.6761	3362.676256	3363.642431341524	2.342	Th	II	P
